Estatísticas para UPLOAD (sem outliers):
tree_ORTHOMCL1.nexus: média=23804.08 bps, std=2812.74, mediana=24304.76, min=18845.70, max=26874.72, n=5, outliers=0
tree_ORTHOMCL1092.nexus: média=47817.26 bps, std=9641.00, mediana=43055.86, min=37739.55, max=64134.29, n=5, outliers=0
tree_ORTHOMCL1100.nexus: média=49426.66 bps, std=8519.09, mediana=47874.19, min=40107.44, max=63412.48, n=5, outliers=0
tree_ORTHOMCL1104.nexus: média=52270.53 bps, std=10113.90, mediana=55502.78, min=38588.58, max=63162.55, n=5, outliers=0
tree_ORTHOMCL1113.nexus: média=40540.45 bps, std=1589.52, mediana=41127.72, min=37776.78, max=42087.51, n=5, outliers=0
tree_ORTHOMCL1125.nexus: média=48347.85 bps, std=5813.63, mediana=47326.71, min=40412.19, max=57590.69, n=5, outliers=0
tree_ORTHOMCL1126.nexus: média=44690.64 bps, std=4878.13, mediana=43027.54, min=39211.78, max=52792.50, n=5, outliers=0
tree_ORTHOMCL1127.nexus: média=44629.06 bps, std=3766.02, mediana=44580.41, min=38884.22, max=50022.57, n=5, outliers=0
tree_ORTHOMCL1129.nexus: média=47476.77 bps, std=8250.05, mediana=47766.35, min=38182.93, max=61888.47, n=5, outliers=0
tree_ORTHOMCL1131.nexus: média=43760.19 bps, std=4096.40, mediana=41972.61, min=38497.11, max=50027.59, n=5, outliers=0
tree_ORTHOMCL1135.nexus: média=49859.44 bps, std=9770.50, mediana=55379.02, min=37720.08, max=59843.21, n=5, outliers=0
tree_ORTHOMCL1136.nexus: média=40760.01 bps, std=3001.18, mediana=40825.15, min=36877.04, max=46011.71, n=5, outliers=0
tree_ORTHOMCL1146.nexus: média=46351.03 bps, std=6825.14, mediana=44715.66, min=38828.02, max=54498.81, n=5, outliers=0
tree_ORTHOMCL1147.nexus: média=43892.44 bps, std=3614.56, mediana=43824.83, min=37937.50, max=47656.05, n=5, outliers=0
tree_ORTHOMCL1166.nexus: média=47186.77 bps, std=7191.44, mediana=43290.48, min=39995.45, max=57629.09, n=5, outliers=0
tree_ORTHOMCL1305.nexus: média=43033.54 bps, std=6135.05, mediana=42611.39, min=33506.92, max=52623.61, n=5, outliers=0
tree_ORTHOMCL1311.nexus: média=41251.25 bps, std=6206.50, mediana=37793.81, min=34347.17, max=49326.44, n=5, outliers=0
tree_ORTHOMCL1313.nexus: média=35186.84 bps, std=1103.16, mediana=35738.33, min=33674.46, max=36610.74, n=5, outliers=0
tree_ORTHOMCL1314.nexus: média=42068.78 bps, std=7985.99, mediana=36782.56, min=35061.16, max=55195.19, n=5, outliers=0
tree_ORTHOMCL1316.nexus: média=40200.79 bps, std=4889.99, mediana=40264.00, min=33763.56, max=47323.24, n=5, outliers=0
tree_ORTHOMCL1334.nexus: média=39608.97 bps, std=4587.37, mediana=37185.02, min=34502.94, max=46729.48, n=5, outliers=0
tree_ORTHOMCL1352.nexus: média=40132.91 bps, std=6009.87, mediana=37637.80, min=34072.74, max=48960.39, n=5, outliers=0
tree_ORTHOMCL1359.nexus: média=37572.66 bps, std=3343.93, mediana=36289.69, min=34983.34, max=44184.50, n=5, outliers=0
tree_ORTHOMCL1363.nexus: média=40199.16 bps, std=6097.85, mediana=43987.73, min=32343.07, max=47019.80, n=5, outliers=0
tree_ORTHOMCL1370.nexus: média=42354.56 bps, std=7970.72, mediana=45055.39, min=29007.77, max=49948.48, n=5, outliers=0
tree_ORTHOMCL1374.nexus: média=36880.99 bps, std=5652.21, mediana=34010.57, min=32241.83, max=47754.08, n=5, outliers=0
tree_ORTHOMCL1375.nexus: média=41627.24 bps, std=9356.27, mediana=35328.61, min=32947.84, max=53984.21, n=5, outliers=0
tree_ORTHOMCL1378.nexus: média=40038.47 bps, std=7244.73, mediana=37770.84, min=32039.12, max=50382.29, n=5, outliers=0
tree_ORTHOMCL1385.nexus: média=40038.56 bps, std=7065.82, mediana=34986.54, min=33465.09, max=49506.20, n=5, outliers=0
tree_ORTHOMCL1403.nexus: média=37800.52 bps, std=8031.64, mediana=35026.44, min=29294.11, max=52294.43, n=5, outliers=0
tree_ORTHOMCL1404.nexus: média=39506.33 bps, std=2285.45, mediana=40468.29, min=36465.68, max=42712.61, n=5, outliers=0
tree_ORTHOMCL1408.nexus: média=40903.39 bps, std=4024.71, mediana=38010.56, min=37504.18, max=47335.64, n=5, outliers=0
tree_ORTHOMCL1410.nexus: média=40157.30 bps, std=5706.73, mediana=38119.00, min=34027.86, max=48738.48, n=5, outliers=0
tree_ORTHOMCL1442.nexus: média=39350.76 bps, std=5219.91, mediana=36805.98, min=33618.44, max=47985.70, n=5, outliers=0
tree_ORTHOMCL1464.nexus: média=39252.13 bps, std=5121.52, mediana=41535.41, min=31000.25, max=45510.71, n=5, outliers=0
tree_ORTHOMCL1480.nexus: média=41994.53 bps, std=5667.10, mediana=42170.33, min=33660.11, max=49085.54, n=5, outliers=0
tree_ORTHOMCL1490.nexus: média=35308.85 bps, std=2465.22, mediana=34860.99, min=31601.87, max=38457.39, n=5, outliers=0
tree_ORTHOMCL1491.nexus: média=39315.50 bps, std=4222.38, mediana=37625.83, min=35116.08, max=46620.75, n=5, outliers=0
tree_ORTHOMCL1518.nexus: média=40307.61 bps, std=5047.87, mediana=41664.35, min=31710.52, max=46424.77, n=5, outliers=0
tree_ORTHOMCL1527.nexus: média=40123.14 bps, std=7544.56, mediana=37362.97, min=32749.32, max=54623.32, n=5, outliers=0
tree_ORTHOMCL1541.nexus: média=39051.56 bps, std=5518.82, mediana=41206.68, min=32036.97, max=45056.17, n=5, outliers=0
tree_ORTHOMCL1591.nexus: média=38469.71 bps, std=3632.38, mediana=36800.54, min=34718.30, max=44814.68, n=5, outliers=0
tree_ORTHOMCL1619.nexus: média=32235.40 bps, std=6659.97, mediana=36553.28, min=20856.33, max=37900.78, n=5, outliers=0
tree_ORTHOMCL1677.nexus: média=40972.99 bps, std=3988.43, mediana=41865.45, min=36314.94, max=46482.27, n=5, outliers=0
tree_ORTHOMCL1678.nexus: média=42751.84 bps, std=5874.70, mediana=43608.94, min=35743.75, max=51351.88, n=5, outliers=0
tree_ORTHOMCL1686.nexus: média=38437.52 bps, std=5682.40, mediana=36187.01, min=33492.44, max=49566.56, n=5, outliers=0
tree_ORTHOMCL1706.nexus: média=38298.97 bps, std=5232.42, mediana=34349.41, min=33655.25, max=46163.93, n=5, outliers=0
tree_ORTHOMCL1762.nexus: média=38130.52 bps, std=4850.67, mediana=35925.88, min=34879.44, max=47668.42, n=5, outliers=0
tree_ORTHOMCL1770.nexus: média=43599.12 bps, std=5419.71, mediana=46639.46, min=33461.01, max=47801.10, n=5, outliers=0
tree_ORTHOMCL1772.nexus: média=34283.70 bps, std=1682.59, mediana=34416.56, min=31766.97, max=36892.49, n=5, outliers=0
tree_ORTHOMCL1779.nexus: média=40248.93 bps, std=6640.34, mediana=39063.63, min=32872.70, max=50142.40, n=5, outliers=0
tree_ORTHOMCL1780.nexus: média=37587.87 bps, std=4966.94, mediana=35433.24, min=33357.69, max=47138.98, n=5, outliers=0
tree_ORTHOMCL1788.nexus: média=39142.36 bps, std=5023.56, mediana=41213.63, min=32355.32, max=44448.36, n=5, outliers=0
tree_ORTHOMCL1795.nexus: média=41810.89 bps, std=8115.70, mediana=38141.87, min=34741.10, max=56550.93, n=5, outliers=0
tree_ORTHOMCL1809.nexus: média=37333.32 bps, std=5083.44, mediana=38051.74, min=31291.54, max=45325.10, n=5, outliers=0
tree_ORTHOMCL1813.nexus: média=38188.31 bps, std=2592.81, mediana=37976.61, min=34626.04, max=42498.23, n=5, outliers=0
tree_ORTHOMCL1816.nexus: média=36835.96 bps, std=3854.53, mediana=36278.68, min=32727.01, max=43821.27, n=5, outliers=0
tree_ORTHOMCL1833.nexus: média=37734.07 bps, std=4493.96, mediana=36362.66, min=32140.14, max=43752.54, n=5, outliers=0
tree_ORTHOMCL1861.nexus: média=38353.01 bps, std=3833.46, mediana=35971.86, min=34761.45, max=44886.82, n=5, outliers=0
tree_ORTHOMCL1863.nexus: média=40644.58 bps, std=6521.21, mediana=38047.74, min=33985.69, max=51816.10, n=5, outliers=0
tree_ORTHOMCL1869.nexus: média=37442.91 bps, std=5063.13, mediana=40674.90, min=30334.06, max=42503.48, n=5, outliers=0
tree_ORTHOMCL1875.nexus: média=42550.25 bps, std=10013.55, mediana=36878.67, min=35088.16, max=61456.56, n=5, outliers=0
tree_ORTHOMCL1882.nexus: média=37245.61 bps, std=4482.46, mediana=35481.01, min=33983.55, max=46141.77, n=5, outliers=0
tree_ORTHOMCL1890.nexus: média=38859.77 bps, std=8001.81, mediana=35039.46, min=30470.45, max=50829.24, n=5, outliers=0
tree_ORTHOMCL1895.nexus: média=38514.63 bps, std=4549.93, mediana=40203.37, min=32546.75, max=43358.05, n=5, outliers=0
tree_ORTHOMCL1906.nexus: média=42475.77 bps, std=4819.03, mediana=42997.60, min=34072.28, max=48175.20, n=5, outliers=0
tree_ORTHOMCL1909.nexus: média=40365.76 bps, std=8255.49, mediana=37968.38, min=30226.18, max=53212.97, n=5, outliers=0
tree_ORTHOMCL1915.nexus: média=29582.08 bps, std=1456.70, mediana=29249.19, min=28007.46, max=32285.05, n=5, outliers=0
tree_ORTHOMCL1916.nexus: média=42842.68 bps, std=4528.96, mediana=45070.80, min=36548.05, max=47665.65, n=5, outliers=0
tree_ORTHOMCL1940.nexus: média=39074.42 bps, std=6667.77, mediana=35547.46, min=31228.29, max=47663.50, n=5, outliers=0
tree_ORTHOMCL1952.nexus: média=40671.79 bps, std=6411.86, mediana=37608.04, min=33977.24, max=52123.96, n=5, outliers=0
tree_ORTHOMCL1954.nexus: média=39590.10 bps, std=5384.51, mediana=37319.64, min=33745.65, max=47246.55, n=5, outliers=0
tree_ORTHOMCL1958.nexus: média=35106.30 bps, std=1968.17, mediana=34861.32, min=31960.64, max=38056.33, n=5, outliers=0
tree_ORTHOMCL1965.nexus: média=40392.95 bps, std=3998.34, mediana=41201.60, min=34172.66, max=45287.65, n=5, outliers=0
tree_ORTHOMCL1973.nexus: média=35283.11 bps, std=5506.68, mediana=34980.25, min=27548.29, max=44333.35, n=5, outliers=0
tree_ORTHOMCL1977.nexus: média=8596.76 bps, std=980.37, mediana=8328.25, min=7194.06, max=9818.78, n=5, outliers=0
tree_ORTHOMCL1984.nexus: média=40947.29 bps, std=12258.33, mediana=35823.74, min=29599.18, max=62627.07, n=5, outliers=0
tree_ORTHOMCL1985.nexus: média=40945.71 bps, std=4280.49, mediana=40005.06, min=35198.06, max=47311.19, n=5, outliers=0
tree_ORTHOMCL1996.nexus: média=38180.56 bps, std=5236.41, mediana=36906.65, min=32458.86, max=45819.58, n=5, outliers=0
tree_ORTHOMCL1997.nexus: média=37178.22 bps, std=6325.04, mediana=33611.78, min=33375.75, max=49726.08, n=5, outliers=0
tree_ORTHOMCL2001.nexus: média=38405.84 bps, std=4099.10, mediana=37449.47, min=33391.61, max=45932.51, n=5, outliers=0
tree_ORTHOMCL2020.nexus: média=42091.87 bps, std=6173.34, mediana=46151.99, min=34250.74, max=47893.11, n=5, outliers=0
tree_ORTHOMCL2033.nexus: média=37674.86 bps, std=3780.60, mediana=36821.77, min=33483.31, max=44735.10, n=5, outliers=0
tree_ORTHOMCL256.nexus: média=70879.70 bps, std=7819.18, mediana=69871.68, min=61871.95, max=81286.69, n=5, outliers=0
tree_ORTHOMCL256_2.nexus: média=72975.32 bps, std=8276.76, mediana=70280.71, min=63452.42, max=86341.59, n=5, outliers=0
tree_ORTHOMCL320.nexus: média=70977.06 bps, std=7460.22, mediana=69291.40, min=61444.69, max=81955.71, n=5, outliers=0
tree_ORTHOMCL337.nexus: média=60262.46 bps, std=6889.99, mediana=61040.41, min=52961.60, max=71991.70, n=5, outliers=0
tree_ORTHOMCL358.nexus: média=60348.10 bps, std=10747.76, mediana=59116.11, min=46114.53, max=78542.54, n=5, outliers=0
tree_ORTHOMCL364.nexus: média=65755.24 bps, std=8710.74, mediana=66658.87, min=53944.24, max=78596.53, n=5, outliers=0
tree_ORTHOMCL371.nexus: média=58523.73 bps, std=7104.53, mediana=57164.95, min=51707.34, max=72032.59, n=5, outliers=0
tree_ORTHOMCL374.nexus: média=69255.50 bps, std=6327.13, mediana=72156.18, min=56694.09, max=73757.87, n=5, outliers=0
tree_ORTHOMCL421.nexus: média=50755.98 bps, std=2256.17, mediana=49660.47, min=47797.71, max=53746.91, n=5, outliers=0
tree_ORTHOMCL424.nexus: média=64275.46 bps, std=10988.47, mediana=71111.66, min=50777.54, max=75180.07, n=5, outliers=0
tree_ORTHOMCL441.nexus: média=55864.07 bps, std=10998.75, mediana=52749.50, min=44105.99, max=76094.09, n=5, outliers=0
tree_ORTHOMCL458.nexus: média=50449.67 bps, std=4772.22, mediana=51920.17, min=42961.79, max=56405.41, n=5, outliers=0
tree_ORTHOMCL465.nexus: média=57439.43 bps, std=4632.83, mediana=54899.19, min=51721.31, max=63685.81, n=5, outliers=0
tree_ORTHOMCL508.nexus: média=53492.28 bps, std=6515.14, mediana=56333.64, min=44598.80, max=62094.50, n=5, outliers=0
tree_ORTHOMCL510.nexus: média=43799.67 bps, std=9186.09, mediana=43692.82, min=28814.71, max=57677.09, n=5, outliers=0
tree_ORTHOMCL515.nexus: média=53044.58 bps, std=9995.54, mediana=46669.44, min=42222.12, max=66081.52, n=5, outliers=0
tree_ORTHOMCL524.nexus: média=51799.93 bps, std=5257.34, mediana=49976.98, min=46481.70, max=61846.63, n=5, outliers=0
tree_ORTHOMCL525.nexus: média=50933.15 bps, std=6284.85, mediana=48951.91, min=43648.63, max=61732.05, n=5, outliers=0
tree_ORTHOMCL526.nexus: média=49183.73 bps, std=6383.76, mediana=51227.97, min=41270.24, max=57985.30, n=5, outliers=0
tree_ORTHOMCL534.nexus: média=52115.78 bps, std=7090.19, mediana=50094.12, min=45012.33, max=65261.51, n=5, outliers=0
tree_ORTHOMCL537.nexus: média=55673.65 bps, std=4840.10, mediana=57451.69, min=48955.86, max=60585.97, n=5, outliers=0
tree_ORTHOMCL540.nexus: média=45991.26 bps, std=4086.27, mediana=44004.98, min=42544.90, max=53632.03, n=5, outliers=0
tree_ORTHOMCL557.nexus: média=51762.92 bps, std=24084.02, mediana=61118.27, min=6738.26, max=75836.36, n=5, outliers=0
tree_ORTHOMCL581.nexus: média=47976.34 bps, std=3266.48, mediana=46402.54, min=45561.69, max=54274.71, n=5, outliers=0
tree_ORTHOMCL588.nexus: média=55760.05 bps, std=10616.17, mediana=50284.18, min=42255.61, max=69120.71, n=5, outliers=0
tree_ORTHOMCL592.nexus: média=45591.95 bps, std=5887.40, mediana=44405.33, min=39754.89, max=55907.89, n=5, outliers=0
tree_ORTHOMCL596.nexus: média=54861.75 bps, std=5718.50, mediana=58072.12, min=45634.52, max=59990.62, n=5, outliers=0
tree_ORTHOMCL609.nexus: média=48814.09 bps, std=4483.42, mediana=46666.03, min=46210.24, max=57769.49, n=5, outliers=0
tree_ORTHOMCL613.nexus: média=58223.15 bps, std=6954.49, mediana=57471.56, min=46841.51, max=67958.34, n=5, outliers=0
tree_ORTHOMCL617.nexus: média=47536.88 bps, std=3798.70, mediana=46742.20, min=44416.19, max=54888.30, n=5, outliers=0
tree_ORTHOMCL625.nexus: média=57976.98 bps, std=6522.24, mediana=61216.32, min=48837.53, max=66463.15, n=5, outliers=0
tree_ORTHOMCL626.nexus: média=46245.53 bps, std=2455.39, mediana=46698.02, min=42711.48, max=50077.42, n=5, outliers=0
tree_ORTHOMCL641.nexus: média=57185.87 bps, std=6339.16, mediana=56398.11, min=47444.66, max=67123.38, n=5, outliers=0
tree_ORTHOMCL648.nexus: média=46599.77 bps, std=3047.42, mediana=45295.04, min=43158.58, max=51352.20, n=5, outliers=0
tree_ORTHOMCL650.nexus: média=56511.68 bps, std=6681.41, mediana=58270.12, min=47020.71, max=64810.15, n=5, outliers=0
tree_ORTHOMCL652.nexus: média=46874.39 bps, std=6097.19, mediana=44985.30, min=42411.03, max=58871.13, n=5, outliers=0
tree_ORTHOMCL659.nexus: média=57872.50 bps, std=12204.74, mediana=53120.61, min=42215.29, max=76810.35, n=5, outliers=0
tree_ORTHOMCL665.nexus: média=52916.05 bps, std=9072.13, mediana=47388.17, min=45550.30, max=69705.35, n=5, outliers=0
tree_ORTHOMCL667.nexus: média=51478.86 bps, std=6914.87, mediana=48891.49, min=43802.30, max=62549.50, n=5, outliers=0
tree_ORTHOMCL680.nexus: média=57749.77 bps, std=11478.51, mediana=60852.50, min=42479.84, max=73568.67, n=5, outliers=0
tree_ORTHOMCL721.nexus: média=44705.07 bps, std=12064.07, mediana=41069.44, min=30736.73, max=66635.71, n=5, outliers=0
tree_ORTHOMCL726.nexus: média=47256.33 bps, std=9539.20, mediana=46836.56, min=36855.20, max=64740.56, n=5, outliers=0
tree_ORTHOMCL728.nexus: média=46355.59 bps, std=8334.49, mediana=41267.00, min=38385.62, max=60411.81, n=5, outliers=0
tree_ORTHOMCL733.nexus: média=47599.68 bps, std=5733.44, mediana=43754.79, min=42315.27, max=56407.86, n=5, outliers=0
tree_ORTHOMCL741.nexus: média=42348.73 bps, std=11863.94, mediana=44704.41, min=20881.52, max=53345.27, n=5, outliers=0
tree_ORTHOMCL744.nexus: média=45850.33 bps, std=12485.21, mediana=41017.06, min=36329.98, max=70522.49, n=5, outliers=0
tree_ORTHOMCL746.nexus: média=50342.76 bps, std=8879.10, mediana=48903.23, min=39570.73, max=64278.92, n=5, outliers=0
tree_ORTHOMCL748.nexus: média=42520.92 bps, std=2492.13, mediana=43912.16, min=38725.94, max=45109.86, n=5, outliers=0
tree_ORTHOMCL750.nexus: média=42735.49 bps, std=4498.35, mediana=42076.93, min=37662.65, max=48681.97, n=5, outliers=0
tree_ORTHOMCL755.nexus: média=46265.69 bps, std=4355.75, mediana=48438.77, min=40375.19, max=50668.97, n=5, outliers=0
tree_ORTHOMCL757.nexus: média=41430.42 bps, std=1255.01, mediana=41275.38, min=39465.53, max=43315.07, n=5, outliers=0
tree_ORTHOMCL758.nexus: média=49357.06 bps, std=5827.29, mediana=52199.05, min=42037.85, max=56318.64, n=5, outliers=0
tree_ORTHOMCL763.nexus: média=47952.83 bps, std=6817.46, mediana=43692.07, min=40871.48, max=57381.34, n=5, outliers=0
tree_ORTHOMCL768.nexus: média=41809.49 bps, std=5581.12, mediana=39279.48, min=38246.62, max=52917.50, n=5, outliers=0
tree_ORTHOMCL780.nexus: média=44717.78 bps, std=7535.99, mediana=41334.55, min=36355.32, max=54081.75, n=5, outliers=0
tree_ORTHOMCL787.nexus: média=49726.25 bps, std=8399.93, mediana=45359.80, min=41549.02, max=61709.77, n=5, outliers=0
tree_ORTHOMCL790.nexus: média=45466.46 bps, std=5433.50, mediana=44700.89, min=39501.82, max=53948.32, n=5, outliers=0
tree_ORTHOMCL791.nexus: média=40396.61 bps, std=6793.53, mediana=38396.42, min=32430.85, max=52740.97, n=5, outliers=0
tree_ORTHOMCL818.nexus: média=49165.63 bps, std=5485.06, mediana=50813.95, min=41162.20, max=54907.09, n=5, outliers=0
tree_ORTHOMCL830.nexus: média=47514.63 bps, std=8330.63, mediana=42029.91, min=40597.14, max=62426.37, n=5, outliers=0
tree_ORTHOMCL833.nexus: média=46424.85 bps, std=5227.61, mediana=48974.42, min=39152.74, max=53334.45, n=5, outliers=0
tree_ORTHOMCL835.nexus: média=41167.93 bps, std=5436.68, mediana=38253.38, min=37182.19, max=51836.94, n=5, outliers=0
tree_ORTHOMCL836.nexus: média=49969.25 bps, std=9092.14, mediana=45224.06, min=40405.29, max=61349.92, n=5, outliers=0
tree_ORTHOMCL838.nexus: média=46519.23 bps, std=8544.86, mediana=40882.43, min=38701.64, max=60053.61, n=5, outliers=0
tree_ORTHOMCL841.nexus: média=46031.97 bps, std=5684.03, mediana=44009.43, min=39778.91, max=55182.98, n=5, outliers=0
tree_ORTHOMCL853.nexus: média=45939.30 bps, std=4859.62, mediana=48716.49, min=39446.15, max=51215.51, n=5, outliers=0
tree_ORTHOMCL854.nexus: média=46708.82 bps, std=7248.71, mediana=42649.16, min=38871.64, max=55643.02, n=5, outliers=0
tree_ORTHOMCL858.nexus: média=47656.54 bps, std=5533.70, mediana=44884.52, min=42267.88, max=57880.38, n=5, outliers=0
tree_ORTHOMCL862.nexus: média=42955.16 bps, std=3886.43, mediana=41751.11, min=39080.29, max=50427.11, n=5, outliers=0
tree_ORTHOMCL866.nexus: média=43292.90 bps, std=4121.54, mediana=41142.19, min=39425.36, max=50822.57, n=5, outliers=0
tree_ORTHOMCL872.nexus: média=46942.57 bps, std=9074.17, mediana=47916.28, min=31650.07, max=56643.41, n=5, outliers=0
tree_ORTHOMCL874.nexus: média=43890.68 bps, std=7578.66, mediana=41157.88, min=38213.40, max=58805.77, n=5, outliers=0
tree_ORTHOMCL875.nexus: média=49004.81 bps, std=11328.30, mediana=40899.19, min=39470.50, max=67455.70, n=5, outliers=0
tree_ORTHOMCL877.nexus: média=47287.25 bps, std=6740.79, mediana=42880.57, min=41145.42, max=55600.05, n=5, outliers=0
tree_ORTHOMCL878.nexus: média=42480.74 bps, std=4229.54, mediana=42925.16, min=37487.10, max=47583.75, n=5, outliers=0
tree_ORTHOMCL884.nexus: média=44135.45 bps, std=3700.49, mediana=41894.92, min=40990.30, max=50615.97, n=5, outliers=0
tree_ORTHOMCL885.nexus: média=49483.82 bps, std=8147.81, mediana=45125.71, min=39294.10, max=59412.61, n=5, outliers=0
tree_ORTHOMCL888.nexus: média=48853.81 bps, std=8742.04, mediana=52630.55, min=38856.33, max=61254.54, n=5, outliers=0
tree_ORTHOMCL900.nexus: média=42599.05 bps, std=3535.78, mediana=41198.61, min=39330.47, max=49019.67, n=5, outliers=0
tree_ORTHOMCL908.nexus: média=50377.12 bps, std=7239.68, mediana=49329.86, min=41566.28, max=59316.38, n=5, outliers=0
tree_ORTHOMCL916.nexus: média=44672.01 bps, std=5476.29, mediana=43363.40, min=37555.11, max=54267.39, n=5, outliers=0
tree_ORTHOMCL918.nexus: média=49575.60 bps, std=4878.81, mediana=50907.83, min=40143.11, max=53698.80, n=5, outliers=0
tree_ORTHOMCL938.nexus: média=44601.84 bps, std=4037.96, mediana=43768.24, min=40388.53, max=51657.92, n=5, outliers=0
tree_ORTHOMCL942.nexus: média=46681.79 bps, std=5184.47, mediana=50578.34, min=38313.64, max=51026.51, n=5, outliers=0
tree_ORTHOMCL943.nexus: média=42102.93 bps, std=6838.48, mediana=38993.94, min=37214.73, max=55646.11, n=5, outliers=0
tree_ORTHOMCL947.nexus: média=49124.57 bps, std=7987.32, mediana=53922.71, min=37689.36, max=56846.48, n=5, outliers=0
tree_ORTHOMCL948.nexus: média=39363.78 bps, std=2626.79, mediana=39609.30, min=35761.28, max=42253.87, n=5, outliers=0
tree_ORTHOMCL964.nexus: média=48842.57 bps, std=7428.14, mediana=49919.81, min=39252.01, max=59943.50, n=5, outliers=0
tree_ORTHOMCL965.nexus: média=46179.85 bps, std=7967.78, mediana=43049.52, min=38979.85, max=60949.37, n=5, outliers=0
tree_ORTHOMCL968.nexus: média=46327.25 bps, std=6015.79, mediana=43370.13, min=39169.95, max=55146.66, n=5, outliers=0
tree_ORTHOMCL974.nexus: média=44823.61 bps, std=3695.34, mediana=44609.48, min=40931.37, max=51009.03, n=5, outliers=0
tree_ORTHOMCL983.nexus: média=42383.33 bps, std=3460.68, mediana=40868.01, min=39787.47, max=49071.74, n=5, outliers=0
tree_ORTHOMCL988.nexus: média=10500.41 bps, std=478.67, mediana=10351.65, min=9898.01, max=11331.73, n=5, outliers=0
tree_ORTHOMCL989.nexus: média=45546.62 bps, std=5901.43, mediana=48992.25, min=35918.24, max=51266.98, n=5, outliers=0
tree_ORTHOMCL990.nexus: média=44685.31 bps, std=7875.80, mediana=40715.57, min=36047.82, max=57916.80, n=5, outliers=0
tree_ORTHOMCL993.nexus: média=44373.17 bps, std=8818.97, mediana=39629.62, min=33668.32, max=56281.65, n=5, outliers=0
ORTHOMCL1: média=118355.75 bps, std=17012.75, mediana=112014.43, min=95901.81, max=141856.70, n=5, outliers=0
ORTHOMCL1000: média=498203.23 bps, std=123089.74, mediana=445667.74, min=395288.26, max=734765.53, n=5, outliers=0
ORTHOMCL1002: média=569633.32 bps, std=179399.02, mediana=582958.15, min=254241.94, max=753380.15, n=5, outliers=0
ORTHOMCL1003: média=368354.24 bps, std=42057.79, mediana=364000.38, min=297082.82, max=422279.57, n=5, outliers=0
ORTHOMCL1005: média=608919.52 bps, std=73764.98, mediana=597950.80, min=483189.19, max=684819.69, n=5, outliers=0
