Estatísticas para DOWNLOAD (sem outliers):
tree_ORTHOMCL1.nexus: média=16892.09 bps, std=3089.69, mediana=15383.82, min=13745.02, max=22643.16, n=5, outliers=0
tree_ORTHOMCL1042.nexus: média=27849.81 bps, std=3574.01, mediana=27063.29, min=22062.20, max=32456.70, n=5, outliers=0
tree_ORTHOMCL1043.nexus: média=25409.70 bps, std=2159.02, mediana=26662.99, min=22790.61, max=28039.53, n=5, outliers=0
tree_ORTHOMCL1074.nexus: média=28899.55 bps, std=2108.35, mediana=29244.08, min=26504.28, max=31801.89, n=5, outliers=0
tree_ORTHOMCL1083.nexus: média=25518.50 bps, std=1773.33, mediana=26523.79, min=22731.04, max=27570.05, n=5, outliers=0
tree_ORTHOMCL1087.nexus: média=29546.27 bps, std=2573.01, mediana=31614.34, min=26375.55, max=31669.47, n=5, outliers=0
tree_ORTHOMCL1092.nexus: média=27088.24 bps, std=4891.89, mediana=27007.87, min=20288.03, max=32495.77, n=5, outliers=0
tree_ORTHOMCL1100.nexus: média=27613.42 bps, std=4968.33, mediana=27579.04, min=20689.77, max=33080.68, n=5, outliers=0
tree_ORTHOMCL1104.nexus: média=27531.85 bps, std=4595.63, mediana=27059.98, min=20313.04, max=32495.18, n=5, outliers=0
tree_ORTHOMCL1113.nexus: média=26527.27 bps, std=4983.25, mediana=27590.45, min=18019.82, max=32450.45, n=5, outliers=0
tree_ORTHOMCL1125.nexus: média=28508.90 bps, std=1842.82, mediana=27177.21, min=27147.88, max=31838.34, n=5, outliers=0
tree_ORTHOMCL1126.nexus: média=26838.57 bps, std=5440.47, mediana=27057.94, min=18038.92, max=32468.26, n=5, outliers=0
tree_ORTHOMCL1127.nexus: média=28034.96 bps, std=3165.40, mediana=27082.64, min=23169.97, max=32274.79, n=5, outliers=0
tree_ORTHOMCL1129.nexus: média=27841.00 bps, std=4123.28, mediana=27263.64, min=23349.39, max=32626.51, n=5, outliers=0
tree_ORTHOMCL1131.nexus: média=29213.56 bps, std=2666.71, mediana=27059.32, min=26996.02, max=32512.87, n=5, outliers=0
tree_ORTHOMCL1135.nexus: média=26789.22 bps, std=3221.46, mediana=27037.54, min=23170.41, max=32456.93, n=5, outliers=0
tree_ORTHOMCL1136.nexus: média=28622.56 bps, std=3833.11, mediana=30370.09, min=23121.55, max=32319.96, n=5, outliers=0
tree_ORTHOMCL1146.nexus: média=27078.23 bps, std=2065.21, mediana=27259.45, min=23294.90, max=29418.73, n=5, outliers=0
tree_ORTHOMCL1147.nexus: média=27727.09 bps, std=3176.00, mediana=27328.19, min=23402.48, max=33312.41, n=5, outliers=0
tree_ORTHOMCL1166.nexus: média=27656.23 bps, std=3143.70, mediana=26665.94, min=22896.69, max=31988.34, n=5, outliers=0
tree_ORTHOMCL1305.nexus: média=24797.59 bps, std=1884.66, mediana=23864.19, min=23829.89, max=28566.81, n=5, outliers=0
tree_ORTHOMCL1311.nexus: média=24729.59 bps, std=2831.93, mediana=23868.84, min=20408.05, max=28629.33, n=5, outliers=0
tree_ORTHOMCL1313.nexus: média=22575.19 bps, std=2182.00, mediana=23847.10, min=19542.97, max=25189.03, n=5, outliers=0
tree_ORTHOMCL1314.nexus: média=26003.83 bps, std=2161.20, mediana=25152.36, min=23840.72, max=28623.94, n=5, outliers=0
tree_ORTHOMCL1316.nexus: média=21056.03 bps, std=2682.90, mediana=20435.76, min=16667.38, max=23886.93, n=5, outliers=0
tree_ORTHOMCL1334.nexus: média=24995.21 bps, std=2730.57, mediana=25644.76, min=20481.37, max=28602.90, n=5, outliers=0
tree_ORTHOMCL1352.nexus: média=22026.91 bps, std=3400.38, mediana=21777.08, min=17475.99, max=27614.65, n=5, outliers=0
tree_ORTHOMCL1359.nexus: média=25229.32 bps, std=2255.06, mediana=23562.70, min=23301.34, max=27992.99, n=5, outliers=0
tree_ORTHOMCL1363.nexus: média=24236.37 bps, std=1866.87, mediana=23318.30, min=23256.47, max=27969.78, n=5, outliers=0
tree_ORTHOMCL1370.nexus: média=24250.24 bps, std=1861.35, mediana=23334.51, min=23276.98, max=27972.51, n=5, outliers=0
tree_ORTHOMCL1374.nexus: média=23269.45 bps, std=2043.40, mediana=23315.38, min=19971.95, max=26431.37, n=5, outliers=0
tree_ORTHOMCL1375.nexus: média=24478.42 bps, std=1796.35, mediana=23319.16, min=23307.12, max=27949.82, n=5, outliers=0
tree_ORTHOMCL1378.nexus: média=7346.54 bps, std=717.95, mediana=7757.25, min=6349.18, max=8216.66, n=5, outliers=0
tree_ORTHOMCL1385.nexus: média=24256.36 bps, std=1872.76, mediana=23319.63, min=23303.73, max=28001.82, n=5, outliers=0
tree_ORTHOMCL1403.nexus: média=23595.70 bps, std=2551.03, mediana=23322.14, min=19991.04, max=27992.76, n=5, outliers=0
tree_ORTHOMCL1404.nexus: média=25241.19 bps, std=2132.95, mediana=24261.64, min=23156.11, max=27819.08, n=5, outliers=0
tree_ORTHOMCL1408.nexus: média=26139.61 bps, std=2141.72, mediana=26877.56, min=23580.27, max=28345.06, n=5, outliers=0
tree_ORTHOMCL1410.nexus: média=23899.02 bps, std=2145.64, mediana=23308.71, min=21592.20, max=27979.17, n=5, outliers=0
tree_ORTHOMCL1442.nexus: média=25424.49 bps, std=2068.52, mediana=25170.43, min=23176.27, max=27835.31, n=5, outliers=0
tree_ORTHOMCL1464.nexus: média=23582.98 bps, std=2540.16, mediana=23310.72, min=19989.30, max=27958.06, n=5, outliers=0
tree_ORTHOMCL1480.nexus: média=23443.71 bps, std=2531.17, mediana=23189.34, min=19860.57, max=27802.02, n=5, outliers=0
tree_ORTHOMCL1490.nexus: média=23707.65 bps, std=3560.96, mediana=23166.08, min=19870.46, max=27819.14, n=5, outliers=0
tree_ORTHOMCL1491.nexus: média=25853.20 bps, std=2411.77, mediana=27801.27, min=22630.90, max=27832.92, n=5, outliers=0
tree_ORTHOMCL1518.nexus: média=25150.39 bps, std=2176.69, mediana=23751.87, min=23183.08, max=27822.51, n=5, outliers=0
tree_ORTHOMCL1527.nexus: média=21846.95 bps, std=2430.51, mediana=23703.85, min=17761.13, max=23725.94, n=5, outliers=0
tree_ORTHOMCL1541.nexus: média=25289.96 bps, std=3253.06, mediana=27790.82, min=19860.23, max=27820.34, n=5, outliers=0
tree_ORTHOMCL1591.nexus: média=24118.15 bps, std=1851.65, mediana=23193.96, min=23182.07, max=27821.41, n=5, outliers=0
tree_ORTHOMCL1619.nexus: média=24924.87 bps, std=3138.78, mediana=23703.96, min=20308.26, max=28462.84, n=5, outliers=0
tree_ORTHOMCL1677.nexus: média=23313.22 bps, std=2975.38, mediana=23711.75, min=20324.66, max=28443.35, n=5, outliers=0
tree_ORTHOMCL1678.nexus: média=22870.84 bps, std=2726.88, mediana=23690.06, min=19508.68, max=27123.32, n=5, outliers=0
tree_ORTHOMCL1686.nexus: média=21855.64 bps, std=4538.99, mediana=23157.88, min=14314.51, max=27782.76, n=5, outliers=0
tree_ORTHOMCL1706.nexus: média=25468.31 bps, std=2428.13, mediana=23724.12, min=23054.98, max=28470.83, n=5, outliers=0
tree_ORTHOMCL1762.nexus: média=24241.38 bps, std=1802.76, mediana=23218.86, min=23141.94, max=27809.00, n=5, outliers=0
tree_ORTHOMCL1770.nexus: média=24869.23 bps, std=2453.46, mediana=23200.17, min=22278.16, max=27863.82, n=5, outliers=0
tree_ORTHOMCL1772.nexus: média=22243.69 bps, std=1426.97, mediana=22756.17, min=19524.98, max=23727.75, n=5, outliers=0
tree_ORTHOMCL1779.nexus: média=24752.53 bps, std=3088.76, mediana=27129.75, min=19657.79, max=27176.10, n=5, outliers=0
tree_ORTHOMCL1780.nexus: média=22767.46 bps, std=1993.61, mediana=22678.53, min=19385.98, max=25564.54, n=5, outliers=0
tree_ORTHOMCL1788.nexus: média=25044.37 bps, std=1868.37, mediana=24491.86, min=23140.11, max=27810.51, n=5, outliers=0
tree_ORTHOMCL1795.nexus: média=23877.94 bps, std=2023.03, mediana=23194.59, min=21990.29, max=27814.94, n=5, outliers=0
tree_ORTHOMCL1809.nexus: média=23160.26 bps, std=2498.49, mediana=22650.71, min=19423.85, max=27175.75, n=5, outliers=0
tree_ORTHOMCL1813.nexus: média=22414.84 bps, std=3226.51, mediana=22647.01, min=16988.30, max=27152.56, n=5, outliers=0
tree_ORTHOMCL1816.nexus: média=25066.87 bps, std=2623.83, mediana=27159.50, min=21182.50, max=27210.81, n=5, outliers=0
tree_ORTHOMCL1833.nexus: média=23543.24 bps, std=557.03, mediana=23206.67, min=23159.82, max=24615.77, n=5, outliers=0
tree_ORTHOMCL1861.nexus: média=24742.45 bps, std=1992.18, mediana=23324.77, min=22952.13, max=27985.99, n=5, outliers=0
tree_ORTHOMCL1863.nexus: média=23478.93 bps, std=3478.60, mediana=24263.54, min=19415.14, max=27169.80, n=5, outliers=0
tree_ORTHOMCL1869.nexus: média=23508.34 bps, std=1740.24, mediana=22644.94, min=22605.10, max=26988.64, n=5, outliers=0
tree_ORTHOMCL1875.nexus: média=23041.65 bps, std=2603.11, mediana=23179.66, min=19851.43, max=27595.35, n=5, outliers=0
tree_ORTHOMCL1882.nexus: média=23137.96 bps, std=1825.82, mediana=23310.06, min=19951.09, max=25656.98, n=5, outliers=0
tree_ORTHOMCL1890.nexus: média=23608.43 bps, std=2295.16, mediana=23177.11, min=20776.48, max=27813.75, n=5, outliers=0
tree_ORTHOMCL1895.nexus: média=22707.48 bps, std=2930.21, mediana=22162.51, min=20001.48, max=27991.09, n=5, outliers=0
tree_ORTHOMCL1906.nexus: média=24200.71 bps, std=1805.98, mediana=23181.77, min=23170.02, max=27790.94, n=5, outliers=0
tree_ORTHOMCL1909.nexus: média=24739.24 bps, std=2442.68, mediana=23307.69, min=21805.97, max=27991.99, n=5, outliers=0
tree_ORTHOMCL1915.nexus: média=19141.96 bps, std=2450.08, mediana=19442.35, min=16656.85, max=23315.15, n=5, outliers=0
tree_ORTHOMCL1916.nexus: média=24035.53 bps, std=1006.96, mediana=23336.69, min=23308.90, max=25892.77, n=5, outliers=0
tree_ORTHOMCL1940.nexus: média=22888.12 bps, std=1513.61, mediana=23188.28, min=20159.29, max=24836.04, n=5, outliers=0
tree_ORTHOMCL1952.nexus: média=25293.03 bps, std=5747.29, mediana=23332.96, min=19984.06, max=35185.41, n=5, outliers=0
tree_ORTHOMCL1954.nexus: média=25142.01 bps, std=2256.14, mediana=23319.41, min=23289.57, max=27956.47, n=5, outliers=0
tree_ORTHOMCL1958.nexus: média=25054.39 bps, std=2265.77, mediana=23255.96, min=23166.22, max=27835.89, n=5, outliers=0
tree_ORTHOMCL1965.nexus: média=23490.74 bps, std=2694.49, mediana=22639.59, min=19404.99, max=27183.81, n=5, outliers=0
tree_ORTHOMCL1973.nexus: média=24075.56 bps, std=2592.28, mediana=24407.81, min=19852.19, max=27793.28, n=5, outliers=0
tree_ORTHOMCL1977.nexus: média=24565.31 bps, std=1763.34, mediana=24873.58, min=22570.62, max=27196.69, n=5, outliers=0
tree_ORTHOMCL1984.nexus: média=23313.17 bps, std=1579.57, mediana=23718.28, min=20334.00, max=25074.58, n=5, outliers=0
tree_ORTHOMCL1985.nexus: média=7827.14 bps, std=404.44, mediana=7890.98, min=7102.93, max=8357.05, n=5, outliers=0
tree_ORTHOMCL1996.nexus: média=24471.80 bps, std=2204.67, mediana=22681.97, min=22654.13, max=27177.36, n=5, outliers=0
tree_ORTHOMCL1997.nexus: média=22527.81 bps, std=1326.73, mediana=23184.81, min=19874.43, max=23210.20, n=5, outliers=0
tree_ORTHOMCL2001.nexus: média=25943.64 bps, std=2251.00, mediana=27759.38, min=23171.89, max=27798.92, n=5, outliers=0
tree_ORTHOMCL2020.nexus: média=24315.38 bps, std=3159.14, mediana=23335.38, min=20168.07, max=27996.80, n=5, outliers=0
tree_ORTHOMCL2033.nexus: média=23785.27 bps, std=2281.97, mediana=23335.74, min=20956.34, max=27960.14, n=5, outliers=0
tree_ORTHOMCL256.nexus: média=44312.07 bps, std=3187.89, mediana=42732.62, min=42644.07, max=50687.32, n=5, outliers=0
tree_ORTHOMCL256_2.nexus: média=42870.14 bps, std=7655.15, mediana=42754.58, min=32309.45, max=51321.10, n=5, outliers=0
tree_ORTHOMCL320.nexus: média=40167.14 bps, std=4342.62, mediana=39716.89, min=34024.30, max=47647.80, n=5, outliers=0
tree_ORTHOMCL337.nexus: média=42384.86 bps, std=5469.88, mediana=46590.13, min=33271.90, max=46638.87, n=5, outliers=0
tree_ORTHOMCL358.nexus: média=39381.78 bps, std=3018.12, mediana=37875.58, min=37856.31, max=45418.00, n=5, outliers=0
tree_ORTHOMCL364.nexus: média=39964.21 bps, std=3076.64, mediana=38434.87, min=38397.67, max=46117.41, n=5, outliers=0
tree_ORTHOMCL371.nexus: média=33789.28 bps, std=4883.83, mediana=34136.83, min=25578.40, max=40964.44, n=5, outliers=0
tree_ORTHOMCL374.nexus: média=38403.73 bps, std=5743.56, mediana=37632.05, min=32153.19, max=45128.48, n=5, outliers=0
tree_ORTHOMCL421.nexus: média=37616.36 bps, std=3378.23, mediana=34944.49, min=34770.04, max=41789.70, n=5, outliers=0
tree_ORTHOMCL424.nexus: média=35223.82 bps, std=3971.87, mediana=35196.50, min=30164.54, max=42246.26, n=5, outliers=0
tree_ORTHOMCL441.nexus: média=32694.17 bps, std=3302.77, mediana=34339.84, min=26088.72, max=34378.55, n=5, outliers=0
tree_ORTHOMCL458.nexus: média=31715.96 bps, std=2335.05, mediana=30282.57, min=30248.23, max=36286.01, n=5, outliers=0
tree_ORTHOMCL465.nexus: média=38506.00 bps, std=3339.52, mediana=41063.46, min=34371.98, max=41333.42, n=5, outliers=0
tree_ORTHOMCL508.nexus: média=30518.24 bps, std=3863.10, mediana=31052.13, min=26603.76, max=37157.68, n=5, outliers=0
tree_ORTHOMCL510.nexus: média=32693.93 bps, std=4740.67, mediana=35415.58, min=26671.75, max=37235.44, n=5, outliers=0
tree_ORTHOMCL515.nexus: média=33390.00 bps, std=2479.47, mediana=32212.58, min=30851.02, max=36725.09, n=5, outliers=0
tree_ORTHOMCL524.nexus: média=29472.46 bps, std=2060.99, mediana=31053.58, min=26631.54, max=31325.87, n=5, outliers=0
tree_ORTHOMCL525.nexus: média=33432.74 bps, std=3330.20, mediana=35277.44, min=28498.05, max=36496.02, n=5, outliers=0
tree_ORTHOMCL526.nexus: média=32278.39 bps, std=2322.52, mediana=30983.46, min=30524.24, max=36644.32, n=5, outliers=0
tree_ORTHOMCL534.nexus: média=33117.69 bps, std=2858.15, mediana=30822.98, min=30757.00, max=36917.06, n=5, outliers=0
tree_ORTHOMCL537.nexus: média=30260.77 bps, std=3891.53, mediana=30794.60, min=26353.97, max=36962.40, n=5, outliers=0
tree_ORTHOMCL540.nexus: média=33411.78 bps, std=3007.51, mediana=30971.52, min=30935.31, max=37101.45, n=5, outliers=0
tree_ORTHOMCL557.nexus: média=32936.86 bps, std=4137.47, mediana=31317.27, min=26870.88, max=37600.42, n=5, outliers=0
tree_ORTHOMCL581.nexus: média=31015.08 bps, std=3961.36, mediana=30397.27, min=24508.16, max=36489.69, n=5, outliers=0
tree_ORTHOMCL588.nexus: média=31068.64 bps, std=2545.32, mediana=30989.45, min=26496.32, max=33571.12, n=5, outliers=0
tree_ORTHOMCL592.nexus: média=31672.08 bps, std=2450.47, mediana=30453.06, min=30416.43, max=36572.90, n=5, outliers=0
tree_ORTHOMCL596.nexus: média=30729.51 bps, std=3330.89, mediana=30368.68, min=26045.46, max=36487.05, n=5, outliers=0
tree_ORTHOMCL609.nexus: média=33414.35 bps, std=3022.97, mediana=30960.21, min=30927.48, max=37146.79, n=5, outliers=0
tree_ORTHOMCL613.nexus: média=32756.19 bps, std=2908.66, mediana=30412.82, min=30366.37, max=36469.87, n=5, outliers=0
tree_ORTHOMCL617.nexus: média=32566.89 bps, std=4050.27, mediana=31153.18, min=26539.57, max=37112.44, n=5, outliers=0
tree_ORTHOMCL625.nexus: média=31625.36 bps, std=3171.14, mediana=31299.07, min=28569.08, max=37583.98, n=5, outliers=0
tree_ORTHOMCL626.nexus: média=33641.31 bps, std=2973.05, mediana=33188.85, min=29965.83, max=37123.60, n=5, outliers=0
tree_ORTHOMCL641.nexus: média=29246.71 bps, std=5033.08, mediana=30106.69, min=22587.56, max=37567.61, n=5, outliers=0
tree_ORTHOMCL648.nexus: média=29362.69 bps, std=6579.41, mediana=30774.10, min=17531.10, max=36972.77, n=5, outliers=0
tree_ORTHOMCL650.nexus: média=31564.72 bps, std=1982.40, mediana=30810.07, min=28634.91, max=33821.38, n=5, outliers=0
tree_ORTHOMCL652.nexus: média=34737.22 bps, std=2829.30, mediana=35313.54, min=31437.60, max=37745.19, n=5, outliers=0
tree_ORTHOMCL659.nexus: média=31853.26 bps, std=3540.19, mediana=31355.78, min=26854.60, max=37592.64, n=5, outliers=0
tree_ORTHOMCL665.nexus: média=31070.25 bps, std=3820.04, mediana=30794.41, min=24910.84, max=36910.37, n=5, outliers=0
tree_ORTHOMCL667.nexus: média=30954.98 bps, std=5415.31, mediana=32964.26, min=22969.65, max=36771.17, n=5, outliers=0
tree_ORTHOMCL680.nexus: média=30058.18 bps, std=1852.74, mediana=30797.99, min=26394.66, max=31512.23, n=5, outliers=0
tree_ORTHOMCL721.nexus: média=30712.80 bps, std=2489.43, mediana=31620.84, min=27728.52, max=33262.40, n=5, outliers=0
tree_ORTHOMCL726.nexus: média=26757.90 bps, std=4404.35, mediana=27702.23, min=20270.79, max=33084.19, n=5, outliers=0
tree_ORTHOMCL728.nexus: média=29046.83 bps, std=2145.85, mediana=27813.97, min=27717.82, max=33274.31, n=5, outliers=0
tree_ORTHOMCL733.nexus: média=28364.05 bps, std=4268.17, mediana=27747.61, min=23753.11, max=33297.40, n=5, outliers=0
tree_ORTHOMCL741.nexus: média=8695.56 bps, std=504.05, mediana=9044.69, min=7757.67, max=9054.96, n=5, outliers=0
tree_ORTHOMCL744.nexus: média=27280.17 bps, std=2628.92, mediana=27189.23, min=23248.46, max=31555.80, n=5, outliers=0
tree_ORTHOMCL746.nexus: média=29535.68 bps, std=2555.17, mediana=27983.00, min=27192.56, max=32680.66, n=5, outliers=0
tree_ORTHOMCL748.nexus: média=29207.53 bps, std=2641.80, mediana=27077.15, min=27030.69, max=32448.60, n=5, outliers=0
tree_ORTHOMCL750.nexus: média=26835.19 bps, std=2125.91, mediana=27039.51, min=23191.08, max=29867.16, n=5, outliers=0
tree_ORTHOMCL755.nexus: média=29438.38 bps, std=2762.33, mediana=27214.73, min=27152.66, max=33006.51, n=5, outliers=0
tree_ORTHOMCL757.nexus: média=28635.95 bps, std=2123.51, mediana=27207.44, min=27143.68, max=32641.16, n=5, outliers=0
tree_ORTHOMCL758.nexus: média=28592.55 bps, std=3594.65, mediana=27217.04, min=23318.70, max=32668.54, n=5, outliers=0
tree_ORTHOMCL763.nexus: média=27882.77 bps, std=1383.87, mediana=27205.03, min=27146.56, max=30650.10, n=5, outliers=0
tree_ORTHOMCL768.nexus: média=26728.39 bps, std=1813.47, mediana=27184.40, min=23300.89, max=28732.14, n=5, outliers=0
tree_ORTHOMCL780.nexus: média=29830.13 bps, std=2586.12, mediana=31868.83, min=26646.66, max=31987.31, n=5, outliers=0
tree_ORTHOMCL787.nexus: média=27305.46 bps, std=3906.38, mediana=27585.52, min=20698.76, max=32994.34, n=5, outliers=0
tree_ORTHOMCL790.nexus: média=30315.15 bps, std=2671.42, mediana=32444.80, min=27039.56, max=32553.91, n=5, outliers=0
tree_ORTHOMCL791.nexus: média=26507.15 bps, std=1730.11, mediana=27020.22, min=23185.66, max=28276.19, n=5, outliers=0
tree_ORTHOMCL818.nexus: média=29276.45 bps, std=4425.53, mediana=27060.18, min=27057.04, max=38127.50, n=5, outliers=0
tree_ORTHOMCL830.nexus: média=27807.04 bps, std=3043.26, mediana=27039.42, min=23200.89, max=32466.77, n=5, outliers=0
tree_ORTHOMCL833.nexus: média=29107.88 bps, std=2377.77, mediana=28840.22, min=26514.19, max=31837.97, n=5, outliers=0
tree_ORTHOMCL835.nexus: média=27615.27 bps, std=2197.55, mediana=26535.15, min=26468.02, max=32010.08, n=5, outliers=0
tree_ORTHOMCL836.nexus: média=25972.65 bps, std=6480.47, mediana=27583.94, min=13777.79, max=33271.61, n=5, outliers=0
tree_ORTHOMCL838.nexus: média=26734.10 bps, std=2842.95, mediana=27593.14, min=23638.17, max=31175.70, n=5, outliers=0
tree_ORTHOMCL841.nexus: média=32535.99 bps, std=4290.99, mediana=32988.02, min=27567.95, max=39937.28, n=5, outliers=0
tree_ORTHOMCL853.nexus: média=29415.29 bps, std=2871.33, mediana=27108.77, min=27064.38, max=33342.82, n=5, outliers=0
tree_ORTHOMCL854.nexus: média=28032.81 bps, std=3955.84, mediana=27581.69, min=21302.42, max=33143.15, n=5, outliers=0
tree_ORTHOMCL858.nexus: média=25989.03 bps, std=1728.75, mediana=26601.06, min=23031.64, max=27588.10, n=5, outliers=0
tree_ORTHOMCL862.nexus: média=28325.22 bps, std=4091.06, mediana=27601.09, min=23629.09, max=33081.86, n=5, outliers=0
tree_ORTHOMCL866.nexus: média=30710.71 bps, std=5317.56, mediana=26938.89, min=26905.97, max=40511.45, n=5, outliers=0
tree_ORTHOMCL872.nexus: média=30130.49 bps, std=2540.50, mediana=31621.35, min=27040.69, max=32498.03, n=5, outliers=0
tree_ORTHOMCL874.nexus: média=27140.19 bps, std=2590.86, mediana=27052.44, min=23181.75, max=31367.34, n=5, outliers=0
tree_ORTHOMCL875.nexus: média=30080.34 bps, std=2508.64, mediana=29049.82, min=27592.88, max=33111.02, n=5, outliers=0
tree_ORTHOMCL877.nexus: média=26692.78 bps, std=3321.47, mediana=27041.51, min=23170.13, max=32467.02, n=5, outliers=0
tree_ORTHOMCL878.nexus: média=26172.32 bps, std=4894.15, mediana=26513.24, min=18881.68, max=31825.50, n=5, outliers=0
tree_ORTHOMCL884.nexus: média=28401.73 bps, std=2099.33, mediana=26943.99, min=26910.13, max=32296.03, n=5, outliers=0
tree_ORTHOMCL885.nexus: média=28129.59 bps, std=2145.35, mediana=27063.65, min=27036.81, max=32420.21, n=5, outliers=0
tree_ORTHOMCL888.nexus: média=30765.45 bps, std=2696.07, mediana=32947.54, min=27452.15, max=32983.03, n=5, outliers=0
tree_ORTHOMCL900.nexus: média=28687.06 bps, std=2229.11, mediana=27570.55, min=27557.15, max=33145.22, n=5, outliers=0
tree_ORTHOMCL908.nexus: média=28376.95 bps, std=4720.54, mediana=31784.63, min=19878.36, max=31859.36, n=5, outliers=0
tree_ORTHOMCL916.nexus: média=27982.05 bps, std=4490.77, mediana=27193.55, min=20393.96, max=32607.17, n=5, outliers=0
tree_ORTHOMCL918.nexus: média=28318.58 bps, std=3534.02, mediana=26923.33, min=23146.40, max=32311.21, n=5, outliers=0
tree_ORTHOMCL938.nexus: média=29482.74 bps, std=2562.58, mediana=27825.56, min=27173.66, max=32623.56, n=5, outliers=0
tree_ORTHOMCL942.nexus: média=28260.54 bps, std=3396.89, mediana=27048.91, min=23185.26, max=32495.64, n=5, outliers=0
tree_ORTHOMCL943.nexus: média=30385.56 bps, std=2631.97, mediana=32367.28, min=27133.97, max=32655.79, n=5, outliers=0
tree_ORTHOMCL947.nexus: média=28112.62 bps, std=3186.74, mediana=26883.35, min=23522.09, max=31746.50, n=5, outliers=0
tree_ORTHOMCL948.nexus: média=26588.87 bps, std=85.38, mediana=26524.52, min=26514.68, max=26703.82, n=5, outliers=0
tree_ORTHOMCL964.nexus: média=29259.20 bps, std=3630.39, mediana=31177.24, min=23178.21, max=32449.36, n=5, outliers=0
tree_ORTHOMCL965.nexus: média=27364.84 bps, std=2971.10, mediana=27047.56, min=23193.63, max=32505.34, n=5, outliers=0
tree_ORTHOMCL968.nexus: média=29217.60 bps, std=2649.15, mediana=27092.37, min=27032.26, max=32478.32, n=5, outliers=0
tree_ORTHOMCL974.nexus: média=28603.24 bps, std=3607.53, mediana=27184.87, min=23311.35, max=32721.74, n=5, outliers=0
tree_ORTHOMCL983.nexus: média=26539.77 bps, std=4048.73, mediana=26543.12, min=19425.69, max=31824.75, n=5, outliers=0
tree_ORTHOMCL988.nexus: média=30410.30 bps, std=3933.80, mediana=28017.84, min=27125.68, max=37165.61, n=5, outliers=0
tree_ORTHOMCL989.nexus: média=25637.80 bps, std=1899.30, mediana=27147.79, min=23294.96, max=27216.27, n=5, outliers=0
tree_ORTHOMCL990.nexus: média=8892.57 bps, std=442.47, mediana=8868.64, min=8403.76, max=9393.14, n=5, outliers=0
tree_ORTHOMCL993.nexus: média=29224.78 bps, std=2660.49, mediana=27077.71, min=27030.27, max=32483.33, n=5, outliers=0
tree_ORTHOMCL1000_Inner1.nexus: média=9772.78 bps, std=1320.73, mediana=9499.83, min=8358.39, max=11787.24, n=5, outliers=0
tree_ORTHOMCL1000_Inner2.nexus: média=18073.60 bps, std=2631.36, mediana=19490.49, min=13908.90, max=21222.35, n=5, outliers=0
tree_ORTHOMCL1000_Inner3.nexus: média=12955.43 bps, std=1232.97, mediana=12765.95, min=11336.77, max=15161.23, n=5, outliers=0
tree_ORTHOMCL1000_Inner4.nexus: média=27968.93 bps, std=2286.46, mediana=27088.32, min=25963.17, max=32446.53, n=5, outliers=0
